id,x,y,radius
1,438,306,22
2,546,292,26
3,210,154,27
4,196,312,29
5,642,206,25
6,722,424,23
7,724,122,22
8,312,288,43
9,292,292,44
10,860,190,24
11,326,66,24
12,914,174,49
13,574,450,34
14,886,234,22
15,696,24,27
16,786,102,35
17,576,194,22
18,912,266,22
19,720,162,21
20,592,68,22
21,784,326,21
22,524,100,20
23,690,320,20
24,584,338,17
25,348,180,46
26,400,438,39
27,482,304,34
28,862,252,34
29,664,140,28
30,920,314,24
31,696,390,23
32,692,216,22
33,278,94,20
34,216,102,19
35,170,150,37
36,460,158,24
37,456,32,22
38,672,462,21
39,450,458,36
40,636,432,27
41,202,42,24
42,670,256,22
43,296,370,29
44,532,504,27
45,254,142,26
46,312,352,24
47,436,220,22
48,844,142,22
49,412,182,20
50,344,108,20
51,526,344,37
52,156,258,32
53,790,372,23
54,536,152,16
55,232,390,42
56,182,490,35
57,134,78,32
58,484,500,29
59,358,362,27
60,268,40,24
61,426,66,23
62,206,196,20
63,984,114,17
64,86,62,38
65,336,470,35
66,238,320,32
67,452,116,20
68,980,160,35
69,552,344,33
70,302,268,29
71,526,394,28
72,936,114,23
73,860,90,22
74,484,70,21
75,812,214,20
76,258,178,18
77,516,464,38
78,136,404,36
79,294,460,29
80,756,94,27
81,30,210,27
82,382,408,26
83,622,270,22
84,140,32,22
85,432,388,22
86,730,68,22
87,630,372,21
88,868,306,20
89,524,218,19
90,810,64,37
91,118,226,35
92,424,436,34
93,662,66,28
94,562,24,23
95,412,250,22
96,638,308,20
97,738,266,20
98,688,502,19
99,48,142,40
100,118,64,28
101,174,170,26
102,190,272,24
103,778,168,20
104,162,212,34
105,116,382,32
106,86,170,26
107,268,334,22
108,588,384,21
109,490,196,17
110,106,110,29
111,814,144,17
112,284,484,29
113,644,100,23
114,582,116,21
115,626,54,18
116,594,304,29
117,336,286,20
118,470,250,19
119,564,242,18
120,634,482,18
121,408,380,18
122,338,308,24
123,140,306,22
124,500,316,20
125,490,364,20
126,990,264,28
127,314,218,27
128,738,202,20
129,224,510,20
130,98,232,24
131,868,406,21
132,368,60,18
133,380,150,19
134,330,150,18
135,160,118,17
136,1008,56,16
137,166,234,22
138,414,30,21
139,908,24,21
140,764,240,20
141,762,488,18
142,814,104,16
143,836,338,12
144,268,246,24
145,124,176,18
146,778,34,29
147,260,218,24
148,792,468,24
149,238,78,19
150,356,320,19
151,770,122,16
152,586,500,26
153,970,238,22
154,730,470,18
155,486,140,19
156,446,430,17
157,540,64,14
158,678,440,18
159,382,294,17
160,360,210,10
161,884,132,21
162,496,22,19
163,140,244,22
164,280,164,21
165,360,442,17
166,958,150,25
167,244,362,17
168,642,14,16
169,82,126,16
170,200,240,17
171,740,34,17
172,192,292,22
173,304,242,20
174,324,10,19
175,132,456,17
176,646,524,14
177,834,54,16
178,436,346,16
179,722,522,12
180,664,284,17
181,250,282,16
